communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,Updated URL
SMS,vehicleBrochure,CIAZ,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/all_new_ciaz-brochure.pdf,TRUE,-
SMS,vehicleBrochure,DZIRE,Tour,SWIFT DZIRE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,TRUE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w
SMS,vehicleBrochure,FRONX,Tour,,https://nexaprod5.azureedge.net/-/media/feature/nexawebsitecarbrand/flash/fronx-brochurenew.pdf#element_submenu,TRUE,
SMS,vehicleBrochure,DZIRE (DI),Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,TRUE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf
SMS,vehicleBrochure,DZIRE (DI),Non Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,TRUE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf
SMS,vehicleBrochure,DZIRE (DR),Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.,TRUE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.
SMS,vehicleBrochure,DZIRE (DR),Non Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.,TRUE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.
SMS,vehicleBrochure,DAZZLING NEW DZIRE,Non Tour,DAZZLING NEW DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire-Product-Brochure.pdf,TRUE,https://www.marutisuzuki.com/arena/pdf-viewer?pdf=/content/dam/msil/arena/in/en/assets/cars/dzire/documents/Arena-Dzire-Brochure.pdf
SMS,vehicleBrochure,DAZZLING NEW DZIRE,Tour,DAZZLING NEW DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire-Product-Brochure.pdf,TRUE,https://az-ci-afde-prd-arena-03-efddeyfchzf9akbb.z01.azurefd.net/msilintiwebpdfcopyfromdefault/Tour_S_Leaflet.pdf
SMS,vehicleBrochure,SUPER CARRY,Tour,,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf,TRUE,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf
SMS,vehicleBrochure,SUPER CARRY,Non Tour,,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf,TRUE,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf
SMS,vehicleBrochure,VICTORIS,Tour,VICTORIS,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf
SMS,vehicleBrochure,VICTORIS,Non Tour,VICTORIS,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf
SMS,vehicleBrochure,THE EPIC SWIFT,Non Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,TRUE,
SMS,vehicleBrochure,THE EPIC SWIFT,Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,TRUE,
SMS,vehicleBrochure,EPIC NEW SWIFT,Non Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,TRUE,https://az-ci-afde-prd-arena-03-efddeyfchzf9akbb.z01.azurefd.net/msilintiwebpdfcopyfromdefault/Swift_Vertical_Brochure_final_highres.pdf
SMS,vehicleBrochure,EPIC NEW SWIFT,Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,TRUE,
SMS,vehicleBrochure,E VITARA,Non Tour,E VITARA,https://www.nexaexperience.com/content/dam/msil/ev/in/en/assets/cars/e-vitara/brochure/eVITARA_Brochure.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=/content/dam/msil/ev/in/en/assets/cars/e-vitara/brochure/NEXA-eVITARA-Brochure-Desktop.pdf
SMS,vehicleBrochure,E VITARA,Tour,E VITARA,https://www.nexaexperience.com/content/dam/msil/ev/in/en/assets/cars/e-vitara/brochure/eVITARA_Brochure.pdf,TRUE,
